line_1,line_2,line_3,source
first day of Spring---,two sweethearts kiss,under a leafless tree,tempslibre
she closes her,bathroom curtains---,a setting full moon,tempslibre
March warms up---,the barmaid opens,another button on her skirt,tempslibre
morning snow---,I tell my barber do something,about my gray hairs ,tempslibre
morning fog---,the subway is full,of steaming spirits,tempslibre
Superbowl Sunday---,no smell,of cooking,tempslibre
blizzard---,the bars are crowded,but the subway is empty,tempslibre
the cat starts,to have an attitude---,the year of the tiger,tempslibre
Martin Luther King Day---,Obama is busy,at work,tempslibre
I turn off my cell---,crescent moon,over the skyline ,tempslibre
as the train passes,graffiti murals---,sunset paints the sky red,tempslibre
as I pass her boyfriend's house---,a full moon,Winter's chill,tempslibre
the new year---,a homeless man,has a new sign,tempslibre
an old woman asks,for directions to a bar---,Winter,tempslibre
Claude Levi Strauss dies---,a florist has,wild forget-me-nots ,tempslibre
October dead leaves---,a witch passes me,hat less,tempslibre
Columbus Day---,the UPS guy knocks,on the wrong door ,tempslibre
morning train---,everyone is,on the same page,tempslibre
September Eleven morning,in a coffee shop---,the silence,tempslibre
August heat---,an ice cream truck,ran out of gas,tempslibre
blue sky---,August dust,on the radiator,tempslibre
morning haze---,I postpone,cleaning my windows,tempslibre
morning fog---,a street artist,draws with charcoal,tempslibre
blue sky---,the smell of,suntan lotion,tempslibre
Hiroshima Day---,the reason why,we must keep talking,tempslibre
an octopus spills,its ink---,clouds at sunset ,tempslibre
dense fog---,a nudist beach,empties up,tempslibre
Sunday blue sky---,a kid comes out,of confession,tempslibre
starless night---,a fisherman talks,to himself,tempslibre
morning fog---,a beggar wears,an orange coat,tempslibre
eclipse of the sun---,monks in orange,pray,tempslibre
hot July night---,my neighbor opens,her curtains,tempslibre
morning fog,graffiti artists are,busy working,tempslibre
Summer moonless night---,in the light of fireflies,we kiss ,tempslibre
a beach downpour---,they come out of the ocean,into a shower,tempslibre
late night on the beach---,the only light on,is that of the lighthouse,tempslibre
beautiful weather,on July Fourth---,in God we trust ,tempslibre
Central Park green house gases---,a carriage horse shits,as he passes me,tempslibre
cool July day---,the ice cream man,goes for a coffee break,tempslibre
late June crowded subway---,but no one has,a sun tan,tempslibre
Saturday night rain---,a couple eye the lobsters,in a water tank,tempslibre
lunch hour---,a long line of women,at the ice cream cart,tempslibre
Upper East Side---,their graffiti,is cooler,tempslibre
June morning---,a line of ants,at the subway entrance,tempslibre
the recession---,more nude entertainment bars,open,tempslibre
a June downpour takes a break---,I go out to buy,more water,tempslibre
morning fog---,too much steamed milk,in my espresso,tempslibre
New York---,opposite a church a mosque,both have their doors open,tempslibre
morning fog---,she wears sunglasses,in the subway,tempslibre
Hudson River cool breeze---,so many men,go topless,tempslibre
late night---,she shows me her garden,I taste her tomatoes,tempslibre
blue sky---,as if last night fireworks,never happened,tempslibre
kids fight a gun battle,in the swimming pool---,Memorial Day ,tempslibre
ozone level too high---,a woman wears nothing,under her skirt,tempslibre
sunset---,the sound of people singing,as I pass a church ,tempslibre
East River green waters---,a friend gives me a sip,of his absinthe,tempslibre
dense fog---,a blind man crosses,the street alone,tempslibre
Friday afternoon downpour---,a beer truck stops,to unload,tempslibre
rainy May Sunday---,at a bus stop,an empty can of beer,tempslibre
morning mist---,she takes off her eyeglasses,to see me better,tempslibre
cold rainy day---,Cherry blossom petals,carpet the sidewalk,tempslibre
still no sunshine---,I eat,an orange,tempslibre
the sound of women,whispering -,moonless night,tempslibre
morning fog---,more talk about more,pictures of detainees' torture,tempslibre
afternoon dense fog---,the barmaid gives me,another for the road,tempslibre
over night trash---,the smell of,acetone breath ,tempslibre
April warms up---,the cat has,a new friend,tempslibre
Sunday morning haze---,she wants,her coffee spiced,tempslibre
Spring in the park---,two homeless men play poker,for empty cans,tempslibre
Obama's news conference---,I turn off,Mozart,tempslibre
Spring drizzle---,a newly homeless man,views an abandoned house ,tempslibre
Sunday morning blue sky---,I need more,Alka-Seltzer,tempslibre
rainy day---,I bet the barmaid,I can guess her age,tempslibre
a little girl blows,bubble gum---,cherry trees blossom,tempslibre
a sign on the door---,our sun tanning machines,are solar,tempslibre
lonely Spring Saturday---,I look at the graffiti,for a haiku,tempslibre
Spring drizzle---,the sound of high heels,behind me,tempslibre
clear day---,I view Citibank skyscraper,but where is the aura,tempslibre
waiting for a blizzard to come---,the bar tender ran out,of white rum,tempslibre
she puts the pads,in her bra---,a half moon,tempslibre
East River nice day---,a used condom,on a pile of dirty snow,tempslibre
morning fog---,the new graffiti is,minimal,tempslibre
late night drizzle---,she carries her belongings,in a kids cart,tempslibre
the night watchman,almost closes his eyes---,waning crescent,tempslibre
windy night---,a smoker finds shelter,behind a garbage truck,tempslibre
it starts to snow---,the cat wants,the milk warmed,tempslibre
blue sky---,dew drops on the cover,of the garbage can,tempslibre
a cockroach climbs the wall---,Charles Darwin is today,two hundred ,tempslibre
January warms up---,my neighbor walks,in her underwear,tempslibre
sunset---,as I walk on thin ice,I remember her,tempslibre
dawn---,a Christmas tree,sticks out of the garbage,tempslibre
the recession---,my neighbor puts,another lock on his door,tempslibre
cloudy January---,a white plastic bag,on a leafless tree,tempslibre
chilly night---,I ask,if I can sleep with her,tempslibre
sunset---,I turn off,the Christmas lights,tempslibre
snow in the forecast---,my neighbor's husky,wags his tail,tempslibre
fresh snow---,the graffiti looks ,dirtier ,tempslibre
dawn---,last year dust,on the Christmas ornaments,tempslibre
first snow---,bride walks out,of a church,tempslibre
back home,I wipe her lipstick off my cheek---,a half moon ,tempslibre
cold morning---,a cockroach warms up,under my coffee cup ,tempslibre
first frost---,I feed,the aquarium fish,tempslibre
dawn---,a drunk pisses,on today's newspaper ,tempslibre
gas station---,a GM car,needs a push,tempslibre
late November farm---,a turkey looks,well fed,tempslibre
her winter night gown,suddenly opens---,crescent moon ,tempslibre
Saturday night---,she wears her red high heels,Christmas nears,tempslibre
the recession---,the sun sets behind,Citibank skyscraper,tempslibre
my watch stopped---,I ask a beggar,what time it is,tempslibre
morning haze---,Wall Street has,disappeared,tempslibre
Thanksgiving day---,walking past,empty houses ,tempslibre
Sunday morning fog---,my neighbor's wife,is naked,tempslibre
Saturday night---,a carriage horse,flirts with another ,tempslibre
dawn---,waiting for the light,at the end of the tunnel,tempslibre
Armistice Day---,I buy,more Euros,tempslibre
the crunch of Autumn leaves---,as I pass,a dentures shop,tempslibre
November drizzle---,I turn off,the Zen music,tempslibre
daylight saving time ends---,the cat wakes me,an hour early,tempslibre
black cat tries to,open a garbage bag---,moonless night ,tempslibre
cold morning---,the bus has no heat,she knits a sweater,tempslibre
late October wind---,her blond hair flies,along with the leaves,tempslibre
October night---,who cares how stocks did,crescent moon,tempslibre
windy night---,a witch walks home,Halloween nears,tempslibre
as I walk,on wet Autumn leaves---,a poster of McCain,tempslibre
blue sky---,no liquidity,at the banks ,tempslibre
clear October night---,the smell,of cinnamon,tempslibre
very dry night---,a half moon,hardly moving,tempslibre
Autumn courtyard---,as leaves fall,algae grows,tempslibre
September sunset---,a dead leaf,at my feet,tempslibre
I rush to buy,her birthday present---,crescent moon,tempslibre
Autumn downpour---,I stand under the canopy,of a house for sale,tempslibre
evening fog---,I watch my neighbor,smoke his waterpipe,tempslibre
blue sky,changes to grey---,Paul Newman dies,tempslibre
Madison Square Park---,why are bankers,looking down,tempslibre
September Eleven---,I remember to fix,lock of my backdoor ,tempslibre
a long weekend---,I ran out,of chocolate,tempslibre
hot August night---,she stands,staring out of her window,tempslibre
dawn---,the smell of watermelon,from last night garbage,tempslibre
early morning---,a yogi pisses,in a drinking glass,tempslibre
dawn---,a Coca- Cola sign,turns off,tempslibre
August blue sky---,a Chinese dragon,fuming,tempslibre
Summer thunderstorms---,a surfer puts his board,on his head,tempslibre
my train is late---,I watch a cockroach,going home,tempslibre
dawn---,a line waits outside,the dialysis center,tempslibre
morning---,smell coffee from house,of difficult neighbor,tempslibre
Summer haze---,she wears,a beige bikini,tempslibre
morning haze---,she asks,who picked our lilacs,tempslibre
Summer crowded subway---,the smell,of sardines,tempslibre
she wears tight blue jeans,and hijab---,July Fourth,tempslibre
July Fourth fireworks---,I stand next to,an Iraqi refugee ,tempslibre
sunrise---,a black woman in purple dress,glares at me ,tempslibre
a man at the beach yells---,I need oil to drive home,late June sunset,tempslibre
sunrise---,heavy dust on my copy,of Paradise Lost,tempslibre
June rain stopped---,a drunk waters some more,the lilacs,tempslibre
morning haze---,an exhibitionist keeps,the curtains closed,tempslibre
sudden Spring showers---,her mascara,runs,tempslibre
tough bar---,she just returned,from Iraq,tempslibre
low tide---,she's on seaweed,diet,tempslibre
Memorial Day---,waiting for George Bush,to leave office,tempslibre
Spring warms up---,tattoos,not just on the arms,tempslibre
hearing the call for prayer,as I pass a mosque---,Spring sunset,tempslibre
wind swept cold rain---,truck makes stops,to deliver bottled water,tempslibre
her blond hair shines,over her business suit---,full moon at dusk,tempslibre
the price of rice,goes up---,I start hoarding sake,tempslibre
foggy morning---,she wipes the dust,off her portrait,tempslibre
blue sky---,my neighbor tells,another big fish story,tempslibre
Tax Day---,the sun shines,on a house for sale,tempslibre
blue sky---,her windows are all,fogged up,tempslibre
new driver---,my bus arrives,on time,tempslibre
foggy day---,the rest of this,is at present not available,tempslibre
sunny Spring day---,at the corner store,firemen buy charcoal,tempslibre
dawn---,a pile of black trash bags,wait for pick up,tempslibre
Spring first day---,she wears,no bra,tempslibre
full moon---,the barmaid kisses me,on the cheek,tempslibre
snow,at dawn---,no more milk,tempslibre
windy day---,the mailman,arrives early,tempslibre
holding the binoculars,in her hands---she has,more rings than Saturn,tempslibre
rainy night---,the clicks of high heels,behind me,tempslibre
for the new year ---,a temple nun,washes Buddha,tempslibre
a construction site,on a Winter day---,got sand in my shoes,tempslibre
alone on a pier,he plays the trombone --,Winter sunset,tempslibre
blue sky---,white lilies stick out,of a garbage bag ,tempslibre
sunrise---,new graffiti,in black and white,tempslibre
new year's day---,there is rice,on the sidewalk,tempslibre
strong wind---,an inflatable Santa,decides to fly back north,tempslibre
Thai restaurant---,Christmas songs,only in the kitchen,tempslibre
gloomy day---,the Christmas lights,shine brighter,tempslibre
morning fog---,the graffiti,looks subtle,tempslibre
walking in first snow storm---,no one,in a hurry,tempslibre
Christmas shopping---,I forgot,her present size,tempslibre
wrong address---,the doorman wears,a diamond earing,tempslibre
waiting for dawn---,I put milk,in my coffee,tempslibre
she has a twinkle,in her eyes---,I order more oysters,tempslibre
morning haze---,I watch,high definition TV,tempslibre
Thanksgiving Day---,a rat awaits,arrival of the garbage,tempslibre
Black Friday,starts at midnight---,a long line to buy bagels,tempslibre
Thanksgiving leftovers---,a harvest moon,wrapped with clouds,tempslibre
geometry lesson---,day moon,next to a contrail,tempslibre
Madison Square Park---,cold wind makes it,harder to day dream,tempslibre
putting diamonds,on the heads of rusty nails---,first frost,tempslibre
Veterans Day---,smart people,start wars,tempslibre
late October warmth---,a witch,smiles at me,tempslibre
dark clouds at sunset---,my neighbor,lights up his pumpkin,tempslibre
the flu shot---,my last time,mother held my hand,tempslibre
Indian reservation---,too few home owners,for a subprime crisis,tempslibre
sunset---,a balloon moves up,till it disappears,tempslibre
crowded subway---,he gives his girl friend,a long kiss,tempslibre
overcast sky---,he hands out fliers,for a tanning salon,tempslibre
morning stillness---,the cat watches,a butterfly,tempslibre
October sunset---,have to go to the kitchen,window to view it,tempslibre
sudden October downpour---,her cigarette,got wet,tempslibre
October cold wind---,her yellow skirt,rises,tempslibre
going out she hides,her wedding band---,crescent moon,tempslibre
dusk---,crescent moon amongst dark clouds,I light more candles,tempslibre
a bride walks up,the steps of a church---,September blue sky,tempslibre
morning haze---,her bubble bath,is ready,tempslibre
Madison square Park---,I watch the moon,through an American Elm,tempslibre
dry late September day---,the sun shines,on her freckles,tempslibre
blue sky---,outside a clinic,a nurse takes a smoke break,tempslibre
Labor Day---,a migrant worker sells,American flags,tempslibre
hot afternoon---,she's lost in her book,I in her décolleté,tempslibre
hot September day---,homeless man stands,by ice cream truck,tempslibre
a street artist,soon finished the skyline---,September fog,tempslibre
cutting up red pepper,for the salad---,a drop of blood,tempslibre
she ties her grey hair,in a bun---,August blue sky,tempslibre
eating chicken---,the wish-bone so small,I wish better weather,tempslibre
the remnants,of a hurricane arrive---,and his mother-in-law,tempslibre
arguing with my neighbor,across the fence---,a sparrow changes sides,tempslibre
happy hour---,she tells the bartender,she lost her wedding ring,tempslibre
dark August clouds---,looking up Hiroshima,on the map,tempslibre
morning fog---,listening,to minimalist music,tempslibre
Madison Square Park,live folk music---,no one wears red suspenders,tempslibre
Summer haze---,the nude beach,is empty,tempslibre
July dawn---,the pier is littered,with beer bottles,tempslibre
old couple view,a distant lighthouse---,July moonless night,tempslibre
Fourth of July---,another day,at Guantanamo Bay,tempslibre
Independence Day---,an illegal immigrant,serves me a meal,tempslibre
the long days of Summer---,I start reading,Marcel Proust again,tempslibre
hot day---,she writes a haiku,in minimal clothes,tempslibre
cool breeze---,the cicadas,sing louder,tempslibre
Summer Solstice---,an air conditioner drips,on my neck,tempslibre
end of the month---,no bread left over,to feed the sparrows,tempslibre
Summer carnival---,a flat chested woman,enters the wrong rest room,tempslibre
grey day---,the mailman passes me,"with no ""have a nice day""",tempslibre
Summer---,a tree's luscious green,covers the walk signal,tempslibre
late night---,fireflies rise up,in the cemetery,tempslibre
brilliant blue sky---,I finally washed,my windows,tempslibre
overcast morning,the smell of steaming rice---,Summer,tempslibre
hurricane season started---,my neighbor buys,a hybrid car,tempslibre
a cool breeze---,finally,she says something,tempslibre
an ice cream truck,stands on Fifth Avenue---,it tastes the same,tempslibre
listening to a sermon,on Saturday night---,no mention of hell,tempslibre
the UN tower---,all the windows,have the same color,tempslibre
Memorial Day---,starts Iraq's,scorching Summer,tempslibre
morning haze---,she's still wearing,her chiffon nightgown,tempslibre
a baby fly,has not found yet,the kitchen---Spring,tempslibre
Spring dark clouds---,my barber asks,if I want all the grey out,tempslibre
warm Spring night---,her cleavage glistens,under a crescent moon,tempslibre
blue sky---,a cleaning lady takes,the morning train home,tempslibre
sunrise---,the purple buds,in her flat garden,tempslibre
cold and dark Spring day---,a dead squirrel,in a tree pit,tempslibre
morning rush---,the usual,black knights,tempslibre
downpours,on Tax Day---,but for me no refunds,tempslibre
heavy Spring rain---,in a bar the beer,runs like rivers,tempslibre
morning rain---,umbrellas,go to work,tempslibre
wearing a white mask,because of the pollution---,a day moon,tempslibre
Good Friday---,my neighbor prays,in a mosque,tempslibre
gloomy day---,a blind man passes,a blooming cherry tree,tempslibre
warm Spring night---,a setting moon,takes its time,tempslibre
all the snow melted---,she wears her,angora sweater,tempslibre
early March---,new graffiti,shaped like a tulip,tempslibre
a silent movie---,the audience,keeps on talking,tempslibre
morning rush---,light,at the end of the tunnel,tempslibre
foggy day---,I visit,the Turkish baths,tempslibre
a hawk flies high---,traffic crawls,on the highway,tempslibre
the Ides of March---,a cat has passed,nine dogs,tempslibre
morning stillness---,a crow finally,flies away,tempslibre
Fat Tuesday---,an ice cream truck,parks on melting snow,tempslibre
Ash Wednesday---,no line,at the halal food cart,tempslibre
she speaks English,with a Provence accent---,I order a glass of rosé,tempslibre
on a fire hydrant,I tie my shoes---behind me,a dog waits its turn,tempslibre
winter morning---,too many men,wearing grey suits,tempslibre
cold night---I pass the statue,of a man wearing,a winter coat,tempslibre
February First---,a sun ray dances,on her cell phone,tempslibre
extreme cold weather---,the stars shine,more brightly,tempslibre
very cold day---,a stuffed bear,stays under the bed covers,tempslibre
the price of tortillas,goes up---,let them eat ethanol,tempslibre
soft spoken---,her jewelry and music,are heavy metal,tempslibre
blizzard---,too much powdered sugar,even for Valentine Day,tempslibre
gloomy afternoon---,a red haired woman,smiles at me,tempslibre
snacking on,blue corn chips---,moonless night,tempslibre
at a general statue---,a dog salutes,by raising its leg,tempslibre
cold Saturday night---,the barmaid puts sake,in my green tea,tempslibre
beautiful winter dawn---,I ran out of,Jasmine tea,tempslibre
strange faces are out,this saturday night---,the moon,tempslibre
early morning---,last night stardust,is on the lilacs,tempslibre
morning haze---,I keep recounting,how many Santas,tempslibre
morning commute---,the silence,of end of the year stress,tempslibre
overcast morning---,not enough sugar,in the rice pudding,tempslibre
morning rush---,a blonde,with no lipstick,tempslibre
Autumn sunset---,a birthday balloon,rises,tempslibre
Fifth Avenue station---,the sound of hoofs,on the pavement,tempslibre
grey morning---,I check out a new,tanning salon,tempslibre
a bartender,needs more olives---,the bridge lights turn on,tempslibre
a dog patiently,waits for his plate---,Thanksgiving Day,tempslibre
Black Friday---,so many turkeys,at the sales,tempslibre
the harvest is over,I hang the sickle---,crescent moon,tempslibre
Autumn morning---,neighborhood graffiti,has changed colors,tempslibre
hell---,a homeless man,wears a new garbage bag,tempslibre
overcast day---,I look at old pictures,in black and white,tempslibre
my morning train,delayed---a seagull,flies above the tracks,tempslibre
Autumn night---,a homeless man,has a pumpkin,tempslibre
she wears a purple blouse,at sunset---,I order espresso,tempslibre
October last Sunday---,lost an hour,resetting an old clock,tempslibre
pour mijoter,la mloukhia a tout son temps-,Dimanche froid ,tempslibre
sweet bitterness,of a dark chocolate-,winter time,tempslibre
bamboo flute,the scent,of green tea,tempslibre
at the end,of a long learning curve,a helmut of white hair,tempslibre
my vague memory ,of what binds us ,summer rain,tempslibre
last night’s mascara,around my eyes,summer heat,tempslibre
memory care unit,outside the window,melting snow,tempslibre
the feel of my belly,on yours,soft pears,tempslibre
folding slowly,into wrinkles,the biker’s tattoos,tempslibre
roadside cafe,another stranger,talks about the storm,tempslibre
the result,of our heated exchange,cold coffee ,tempslibre
leaving home,the scent of lilacs,in a jar,tempslibre
arranging,and rearranging flowers,spring morning,tempslibre
moving day,the weight of boxes,not yet packed,tempslibre
cricket season,a slow walk,around the block,tempslibre
boxing,with my shadows,full-moon night,tempslibre
halfway between here,and no-where-,winter’s broken dream,tempslibre
autumn chill,last night’s mascara,around my eyes,tempslibre
nearly dusk...,desire,without a name,tempslibre
undressed,by your words,october chill,tempslibre
fall morning ,extra sugar,in my tea,tempslibre
fading bruises,birdsong,in the distance,tempslibre
a weekend,with my lover,...wildflowers,tempslibre
after the rainstorm,another thought,about last night,tempslibre
waiting,for the meds to kick in,full moon,tempslibre
everything,i’m not,winter rain,tempslibre
war vet on the corner,holding a sign,…someone’s son,tempslibre
fall morning,extra sugar,in my tea,tempslibre
autumn chill,last night’s mascara,around my eyes,tempslibre
divorce court,red heels,one last time,tempslibre
laundry day,my new jeans,the color of midnight,tempslibre
another classmate...,the pile of flowers,says it all,tempslibre
weekend lover,a bird call,goes unanswered,tempslibre
what was it,you wanted to say,summer drizzle,tempslibre
the price of peaches ...,sunday's talk,with my dad,tempslibre
after the rainstorm,another thought,about last night,tempslibre
windowless room,i try,to imagine blossoms,tempslibre
spring morning,one egg left,in the fridge,tempslibre
memory care unit,snowflakes melting,on the window,tempslibre
internet dating,a butterfly flitting,from rose to rose,tempslibre
waiting room,ivy growing,on the outside wall,tempslibre
evening star—,fold upon fold,the quiet blue hills,tempslibre
spring thaw,everything drips,including my nose,tempslibre
autumn chill--,time for a hot bowl,of chili,tempslibre
frozen pond--,the moon trapped,in a crack,tempslibre
November night--,the smell of burning leaves,and marshmallows,tempslibre
high summer--,the sounds and smells,of a traveling fair,tempslibre
gentle breaths--,the window's,frost etchings,tempslibre
quiet lake--,the only sound,a jumping fish,tempslibre
meteor shower--,in the cold our gasps,become visible,tempslibre
failing light--,the ash tree,heavy with  birds,tempslibre
fall equinox--,another day,in the  90's,tempslibre
evening   news--,the burden of  snow,on my son's   balcony,tempslibre
under the snowpack,the garden  buddha,still keeps his smile,tempslibre
uninvited guest--,a fly zips  through,the opened door,tempslibre
stoplight,each of us tapping,to our own beat,tempslibre
Mass over--,the rush to be first,out of the lot,tempslibre
5am--,bird songs lost,in air conditioner noise,tempslibre
at the feeder,more birds than room,the smell of snow,tempslibre
midwinter vanished,in a bite of homemade,strawberry preserves,tempslibre
while washing spinach,how nice to find,a haiku there,tempslibre
friday gossip,round the fish-van,...open-mouthed mackrel,tempslibre
covid 19,...pish-the-bed puffbaws,bidin a braith,tempslibre
fir a new granbairn,she lichts a caunle,...peerie lowe souchin,tempslibre
rin-ower pheasie,...tasht,wattergaw,tempslibre
maitin granfaither -,the wye,he yince maitit me,tempslibre
a singul leaf,reelin doon,...day o the yirdin,tempslibre
thayr bairn's,hame-wrocht mobile:,streeng'n yill cans,tempslibre
it the bus-stap:,a pish-the-bed seed baw,bides fir a souch,tempslibre
faimily tae bide -,the hoose,fou o peerie claes,tempslibre
dung doon larach  -,a buddleia,sic douceness frae ruinage,tempslibre
ootby the maisic chaumer,twa youthie maws,...ettlin tae git in tuin,tempslibre
suddent,the pish-the-bed batch...,thair stobbie herrcuts,tempslibre
dumpin's baw,heich the err,...day o an eclipse,tempslibre
clear vause o roses -,deep in the watter,muckle breers,tempslibre
picnic -,butterflies and,flies in the butter ,tempslibre
hern an me -,oor harns,collin ilk ither,tempslibre
tree less corners,the tall shadows,of beer bottles,tempslibre
Halloween night,ghosts and goblins,watch the rain,tempslibre
desert wind,the potter's fingerprints,on an ancient shard,tempslibre
together,we watch the eclipse,far apart,tempslibre
faded asters,the cortege pauses at her gate,moves on,tempslibre
biopsy,just a cyst - this time,a break in the clouds,tempslibre
plastic flowers,placed beside the highway,memory fades,tempslibre
mud puddles,leaving behind,a high heel,tempslibre
heavy snow,the smell of hot soup,under a neon cross,tempslibre
dead cat...,open-mouthed,to the pouring rain,tempslibre
night rain,in a whisky glass,the windswept moor,tempslibre
sleeper train,the muted glow,of unknown cities,tempslibre
Fragrant spring blossom,children play outside until,there is no more light.,tempslibre
howling wind,the nurse increases,mum’s morphine,tempslibre
planetarium ,my child’s grip,starts to loosen ,tempslibre
I dig a hole,for the stillborn kitten . . .,winter stars,tempslibre
cold starry night -,from the forest edge the sound,of animal kill,tempslibre
lingering fog,a song,I can't quite remember,tempslibre
on either side,of the barbed wire fence,sunset,tempslibre
Independence Day,she's not wearing,a ring,tempslibre
the mourning after,washing the ashes,from my jeans,tempslibre
distant thunder,photos of my parents,in better times,tempslibre
autumn color,a prison work crew,in day-glo orange ,tempslibre
Utopia Parkway,remembering,her red dragon tattoo,tempslibre
after the rain,seagulls return,to the lifeguard stand,tempslibre
piles of rubble,what is,and isn't war,tempslibre
Earth Day,muddy footprints,in the kitchen,tempslibre
end of the weekend,the difference between,mist and fog,tempslibre
equinox,an unmatched,sock ,tempslibre
dancing between,skyscraper shadows,a paper cup,tempslibre
Cape Cod winter,starfish,on the window sill,tempslibre
lost in translation,my Spanish class,over zoom,tempslibre
winter dusk,unopened bottles,of wine ,tempslibre
continued cold,paper roses,in a vase,tempslibre
cold spaghetti,a stock broker explains,credit default swaps,tempslibre
gale warning,remembering when I last,did a backup,tempslibre
winter chill,I remember,my mother's birthday,tempslibre
dining in darkness,a thin slice,of moon,tempslibre
prom night,a pair,of unmatched socks ,tempslibre
first day of winter,a phone rings,unanswered,tempslibre
autumn colors,radar images,of an approaching storm,tempslibre
last day of summer,the dog lies down,in a patch of sun,tempslibre
quarantine day 186,time to close,the windows again,tempslibre
early autumn,a bicycle helmet,filled with leaves,tempslibre
broken clouds,my mother won't,pick up the phone,tempslibre
quarantined,the dog barks,at nothing,tempslibre
farmer's market,all the essential oils,I don't need,tempslibre
cicadas,waiting for the aspirin,to kick in,tempslibre
police helicopter,let's talk about,something else,tempslibre
restless sleep,a buoy's,rusty bell,tempslibre
irises in bloom,the wail,of a distant train ,tempslibre
herd immunity --,wild turkeys crossing,a busy highway,tempslibre
24-hour news --,I can't stop looking,at the fire ,tempslibre
pandemic life --,dandelion seeds,in the air,tempslibre
travel ban,a flock of geese,overhead ,tempslibre
retirement plans,beach sand blowing,in the wind,tempslibre
self-quarantining,without fanfare,backyard Buddha,tempslibre
reluctant to fly away,the egret,and I,tempslibre
writer's block --,a ferry,stalled at the dock,tempslibre
industrial waste --,an otherwise great,guitar solo ,tempslibre
northerly wind --,the shivering cord,of a flagpole,tempslibre
America first --,a line forms,for the taco truck,tempslibre
harvest moon --,a little boy's,first haircut,tempslibre
wolf moon --,the dog sniffs,every footprint,tempslibre
longest night --,we finish our wine,too quickly,tempslibre
high tide --,the smell of weed,by the docks,tempslibre
waning moon --,my mother pretends,to know who I am,tempslibre
house for sale --,dismantling,the wheelchair ramp,tempslibre
weekend traffic --,Canada geese,overhead ,tempslibre
my retirement plan --,tree pollen,floating in the wind,tempslibre
new moon --,the final,mortgage payment,tempslibre
flower moon --,last stop,of the bachelorette party,tempslibre
a discolored wall,where the mirror,used to be,tempslibre
double shift --,the cocktail waitress serves,a whiskey sour,tempslibre
end of summer --,one last bottle,of wine,tempslibre
empty subway station --,the accordion music pauses,between trains,tempslibre
sad news --,opening the windows,to let the chill out,tempslibre
far from Wall Street,a cormorant,dives,tempslibre
lingering clouds --,a stock market,sell-off ,tempslibre
open house --,the rushed paint strokes,of the guest room,tempslibre
prairie winter --,clouds approach,the broken fence,tempslibre
blizzard warning --,wishing I hadn't seen,that black cat,tempslibre
unripe pomegranates --,all that's left,between us,tempslibre
morning thunder --,the garbage man's,early start,tempslibre
Day of the Dead --,my unshaved face,in the mirror,tempslibre
in the ruins,of a beach house,wild orchids bloom,tempslibre
equinox -- ,we split,the last beer,tempslibre
despite all my worry,the fragrance,of honeysuckle,tempslibre
gibbous moon --,all that's left,of summer,tempslibre
end of summer --,watching the Dow,fall,tempslibre
late summer chill --,a young man's,obituary,tempslibre
lightning --,her nightgown,comes off,tempslibre
sturgeon moon --,an ancient,burial site,tempslibre
heat wave --,she stops adjusting,her shoulder strap ,tempslibre
windless night --,a slow dance,of fireflies,tempslibre
approaching storm --,children playing,with matches,tempslibre
a final date --,mingling their ashes,in the lake,tempslibre
missing in action,the hollow eyes,of a veteran ,tempslibre
spring sunshine --,another freckle,to kiss,tempslibre
dogwood blossoms --,an ultrasound,of my newest grandson,tempslibre
morning fog --,a second cup,of bad coffee,tempslibre
Good Friday --,dandelion seeds,in the wind,tempslibre
Good Friday --,an unexpected,phone call,tempslibre
a long conversation,about Mom --,slow soaking rain,tempslibre
over leftovers,an argument about,the causes of war,tempslibre
news of her death —,winter moon descending,beyond the trees,tempslibre
restless night --,footprints,on the moon,tempslibre
a break in the fog --,my daughter's,new address,tempslibre
death of a dictator --,the ebb and flow,of the sea,tempslibre
election eve --,driving home,in the dark,tempslibre
cactus flower --,I didn't realize,she knew my name,tempslibre
Day of the Dead --,walking into,a strong perfume ,tempslibre
defying,the autumn gloom --,red maple,tempslibre
in the hollow stump,of the old tree,wild poppies bloom,tempslibre
deep autumn --,a row,of empty beach houses,tempslibre
hurricane watch --,the tall tree's shadow,over our house,tempslibre
hunter's moon --,she asks if I've found,what I needed,tempslibre
migrating geese --,no one asks them,where they're from,tempslibre
troubled sleep --,sparks,from a high-tension wire,tempslibre
summer haze --,someone murmurs,"""Alzheimer's""",tempslibre
harvest moon --,her updated,relationship status ,tempslibre
summer twilight --,the instructions,for my ashes,tempslibre
blood-tinted soil,where the sugar plantation,used to be,tempslibre
crowded train --,the bright red glare,of her lipstick,tempslibre
hay moon --,the farmer's daughter,in heels,tempslibre
the enlightened man,wearing lipstick,on his collar,tempslibre
starless night --,the deep croak,of a bullfrog,tempslibre
thunderstorm --,a late-night,visitor,tempslibre
overcast night --,the mouse trap,snaps,tempslibre
summer rain --,the garden gnome's,weary smile,tempslibre
threatening sky --,the hum,of a power line,tempslibre
roadside puddle,a street dog licks,the winter moon,tempslibre
impenetrable haze --,the other side,of the bridge,tempslibre
biker couple,covering their tattoos,with sunscreen,tempslibre
ocean view --,the old dog,on a leash,tempslibre
empty ferris wheel --,the last time,we kissed,tempslibre
crossing the border,without a passport --,great blue heron,tempslibre
strawberry moon --,the ribbon,in my granddaughter's hair,tempslibre
